,yyyymmdd,NO$_2$/CO,Fire Name,Mean HWP,Mean HWP Bin,NO$_2$/CO + min
246,20210806T205003,0.0002252317053355686,RiverComplex,15.1161784,"[15.0, 22.0)",0.0007252317053355686
247,20210807T203057,0.0001124371823943548,RiverComplex,18.47552255,"[15.0, 22.0)",0.0006124371823943548
248,20210808T201151,0.0003640551691170528,RiverComplex,12.941786585,"[8.0, 15.0)",0.0008640551691170528
249,20210809T195244,0.0003675345135392761,RiverComplex,17.658567375,"[15.0, 22.0)",0.0008675345135392761
250,20210810T193338,0.0003014307562541412,RiverComplex,24.36902847,"[22.0, 30.0)",0.0008014307562541412
251,20210811T191431,0.0001376397207552146,RiverComplex,21.80070728,"[15.0, 22.0)",0.0006376397207552146
252,20210811T205601,0.0001790589866275093,RiverComplex,21.80070728,"[15.0, 22.0)",0.0006790589866275093
253,20210812T203654,0.0006040306571744338,RiverComplex,25.769833555,"[22.0, 30.0)",0.0011040306571744338
254,20210813T201748,5.091348507020348e-05,RiverComplex,25.499023105,"[22.0, 30.0)",0.0005509134850702035
255,20210815T193934,0.000463512858384207,RiverComplex,25.273024380000003,"[22.0, 30.0)",0.000963512858384207
256,20210816T192028,0.0005925283806369426,RiverComplex,24.63960849,"[22.0, 30.0)",0.0010925283806369427
257,20210816T210157,0.0005869239361202406,RiverComplex,24.63960849,"[22.0, 30.0)",0.0010869239361202406
258,20210817T204250,0.0005635971955405274,RiverComplex,37.536792750000004,"[30.0, 38.0)",0.0010635971955405275
259,20210818T202343,0.0009207770789275454,RiverComplex,49.079444995,"[45.0, 52.0)",0.0014207770789275453
260,20210819T200436,0.000376056913495101,RiverComplex,42.49735314500001,"[38.0, 45.0)",0.000876056913495101
261,20210820T194529,5.913056756758334e-05,RiverComplex,14.292616079999998,"[8.0, 15.0)",0.0005591305675675833
262,20210821T210752,8.808609200810054e-05,RiverComplex,20.960743525,"[15.0, 22.0)",0.0005880860920081006
263,20210822T204845,0.0002606571713365095,RiverComplex,15.28832967,"[15.0, 22.0)",0.0007606571713365095
264,20210823T202937,0.0003717560697803513,RiverComplex,19.811073444999998,"[15.0, 22.0)",0.0008717560697803513
265,20210825T195123,0.0006129983635300498,RiverComplex,20.463130380000003,"[15.0, 22.0)",0.0011129983635300498
266,20210826T211345,9.68880535171752e-05,RiverComplex,17.218115955,"[15.0, 22.0)",0.0005968880535171752
267,20210826T193215,0.0001347150702972301,RiverComplex,17.218115955,"[15.0, 22.0)",0.0006347150702972302
268,20210827T205437,0.0004228711020822091,RiverComplex,25.4851102,"[22.0, 30.0)",0.0009228711020822091
269,20210829T201622,0.0008474602514405421,RiverComplex,32.14466007999999,"[30.0, 38.0)",0.001347460251440542
270,20210830T195715,0.0001815912351918688,RiverComplex,33.004984495,"[30.0, 38.0)",0.0006815912351918689
271,20210901T210029,0.0002610376219908347,RiverComplex,18.34763229,"[15.0, 22.0)",0.0007610376219908347
272,20210901T191859,0.0001891305474718311,RiverComplex,18.34763229,"[15.0, 22.0)",0.0006891305474718311
273,20210902T204121,0.0002398259412822377,RiverComplex,14.256733585000001,"[8.0, 15.0)",0.0007398259412822376
